Name,Indicadores Presidencia,Operativo Anual,Operativo Diario,Operativo Fin de Semana y Semanal,Operativo Mensual,Tendencia Firme / No Firme,Ventas por Tienda y Division,Ventas Presidencia,Ventas Restaurantes,Ventas Viajes Palacio
01-05-2025,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
05-05-2025,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
06-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
07-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,NO
08-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
09-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
10-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
11-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
12-05-2025,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
13-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
14-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
15-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
16-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
17-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
18-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
19-05-2025,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
20-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
21-05-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
01-04-2025,OK,N/A,OK,N/A,OK,OK,OK,OK,OK,OK
02-04-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
03-04-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK
04-04-2025,OK,N/A,OK,N/A,N/A,OK,OK,OK,OK,OK